username,content,timestamp,link,comments,retweets,likes,quotes
@Vances_Burner,Dump her ASAP&#44; absolutely no way on earth you’d put up with that from a woman who looks like a bag of shit warmed up.,"Sep 23, 2025 · 5:14 PM UTC",/Vances_Burner/status/1970537361806369091#m,0,0,4,0
@petuniazeta,Doing some research and I came across this gem...  May 7 2012- Paeleoclimatological research claims dinosaur flatulence may have warmed the earth  In 2025 Cows now wear fart protectors... for the environment.....,"Sep 23, 2025 · 3:52 PM UTC",/petuniazeta/status/1970516574235738324#m,0,0,0,0
@qwikad_com,Efficient Water-Cooled Geothermal Heat Pump: Eco-Friendly Earth Energy System    Stop By  qwikad.com/showad.php?postid…   Florida Keys&#44; Florida    Sep 23&#44; 2025 11:46 #efficient #watercooled #geothermal #heat #pump #ecofriendly #earth #energy #system,"Sep 23, 2025 · 3:47 PM UTC",/qwikad_com/status/1970515260445425805#m,0,0,0,0
@DhruvMishra1607,"#BREAKING : Trump: ""Climate change— it's the greatest con-job ever perpetrated on the world.""  Since 1970: Global mean sea level has risen by about 12–15 cm (120–150 mm).  Since 1970: The Earth’s average surface temperature has warmed by about 0.9–1.1 °C.","Sep 23, 2025 · 3:40 PM UTC",/DhruvMishra1607/status/1970513722218291375#m,0,0,2,0
@Viewble,How is the opposite of warmed up? Cooled down and burnt out,"Sep 23, 2025 · 4:21 AM UTC",/Viewble/status/1970342760021680500#m,0,0,0,0
@dokumochi,Bacteria are earth’s workers—small&#44; but essential.🧘Watched the steam from my shower clear as the bathroom cooled down.📮Scarf shares warmth,"Sep 23, 2025 · 1:06 AM UTC",/dokumochi/status/1970293622970163591#m,0,0,0,0
@Sausius_wx,Typhoon Ragasa is wobbly yet again&#44; as it undergoes another ERC&#44; or at least tries to. At the same time the eye has warmed again slightly and the CDO cooled. It's ragged tho. Thankfully models now agree Ragasa should stay south of the Pearl River delta&#44; still in the cone tho.,"Sep 22, 2025 · 8:47 PM UTC",/Sausius_wx/status/1970228435823010267#m,0,3,10,0
@Oscar_9ex,...and what's his reason? I am a Jew. Hath not a Jew eyes? Hath not a Jew hands&#44; organs&#44; dimensions&#44; senses&#44; affections&#44; passions? Fed with the same food&#44; hurt with the same weapons&#44; subject to the same diseases&#44; healed by the same means&#44; warmed and cooled b  #AwezDarbar  Sid G,"Sep 22, 2025 · 8:04 PM UTC",/Oscar_9ex/status/1970217578451628131#m,0,0,0,0
@Tyler_9ex,...and what's his reason? I am a Jew. Hath not a Jew eyes? Hath not a Jew hands&#44; organs&#44; dimensions&#44; senses&#44; affections&#44; passions? Fed with the same food&#44; hurt with the same weapons&#44; subject to the same diseases&#44; healed by the same means&#44; warmed and cooled b  #AwezDarbar  Sid H,"Sep 22, 2025 · 8:04 PM UTC",/Tyler_9ex/status/1970217558369239536#m,0,0,0,0
@Taurus9217,Caught some of the Earth&#44; Wind & Fire concert & it warmed my ❤️so much!!! I just love the older crowds & that old school feel good music🎶,"Sep 22, 2025 · 2:24 AM UTC",/Taurus9217/status/1969950864266961257#m,0,0,0,1
@UpscRepublicX,“Whose  body was melted in the heat of battle&#44; yet whose fame cooled the earth like the moon.”  — Iron pillar inscription,"Sep 20, 2025 · 3:08 PM UTC",/UpscRepublicX/status/1969418471936311552#m,18,12,151,1
@s8mb,Industrial sulphur dioxide emissions have cooled the earth's climate by 0.4 degrees already. It's possible that we could use them to offset climate change even more.  worksinprogress.co/issue/sun…,"Sep 20, 2025 · 12:56 PM UTC",/s8mb/status/1969385117744308551#m,7,4,27,0
@MarkCranfield_,Sustained climate forcing of less than 0.2 watts per m² warmed the Earth by around 7 degrees Celsius during the last deglaciation&#44; raising sea levels by around 400 feet.  For comparison&#44; climate/radiative/GHG forcing today is around FOUR watts per m². This represents the amount of forcing that's required to achieve planetary energy equilibrium&#44; ie. as much energy radiated as absorbed.  EEI of 1.4 W/m² is the  current actual/observed/realised-to-date net rate of energy (heat) absorption by the Earth (mostly the oceans) due to the equilibrium radiative forcing demanded by GHGs of 4 W/m².,"Sep 20, 2025 · 4:56 AM UTC",/MarkCranfield_/status/1969264424700477578#m,0,1,6,0
@Heather61183855,Earth-cooled&#44; shipping container underground CA home for 30K youtu.be/Z0oFJ2jbkDI?si=2aA6… via @YouTube,"Sep 19, 2025 · 8:27 PM UTC",/Heather61183855/status/1969136261886525655#m,0,0,0,0
@EarthDotCom,Mars’ volcanoes warmed the planet with sulfur gases that made it hospitable to life dlvr.it/TN9rmb #EarthDotCom #EarthSnap #Earth,"Sep 19, 2025 · 7:01 PM UTC",/EarthDotCom/status/1969114668880052698#m,0,0,0,0
@hanhyejin372170,🔭Organizing my desk neat focus.🍳Trees are the earth’s lungs—breathing&#44; growing&#44; giving life.🥥Forgot jacket&#44; sun warmed me.,"Sep 19, 2025 · 2:56 PM UTC",/hanhyejin372170/status/1969052995879940548#m,0,0,0,0
@ryanstrug,"Climate change is b.s. facts&#44; day 1&#44;893:  ""If gasses that absorb heat energy are added to the earth's atmosphere""  Climate doomers no joke act like oxygen and nitrogen can't be warmed by the sun at all lol  If you add more gasses of anything then there's more matter to be warmed.","Sep 18, 2025 · 11:58 PM UTC",/ryanstrug/status/1968827117384130750#m,1,0,0,1
@PowRLye,🪬Cat sleeps&#44; takes my bed spot.😌Drank hot soup after lunch—it warmed my stomach and my heart.📯Butterflies are earth’s ballerinas—graceful&#44; colorful&#44; brief.,"Sep 18, 2025 · 10:34 PM UTC",/PowRLye/status/1968805935230353412#m,0,0,0,0
@adejimi_felix,Imagine a computer center being powered by 2 two separate nuclear power!  Microsoft's new AI data center&#44; Fairwater&#44; located in Wisconsin&#44; USA consumes 2 gigawatt of power supply.  Its connecting fiber so long can circle the earth 4.5 times!  Cooled by non-water liquid. Fantastic,"Sep 18, 2025 · 6:49 PM UTC",/adejimi_felix/status/1968749171558560201#m,0,0,0,0
@SSage82827,Microsoft unveils Fairwater – world’s most powerful AI datacenter in Wisconsin   >> 2 GW new capacity = 2 nuclear plants >> 100K+ NVIDIA GB200s&#44; fiber to wrap Earth 4.5x >> 10x world’s fastest supercomputer >> Liquid-cooled&#44; 100% renewable matched  This is compute at exponential scale  #AI #Supercomputing #NVIDIA #Microsoft,"Sep 18, 2025 · 6:38 PM UTC",/SSage82827/status/1968746580858769717#m,0,0,2,0
,,,,0,0,0,0
@ShanuMathew93,>2GW in the last year! >New SOTA data center in Wisconsin with hundreds of thousands of NVIDIA GB200s&#44; connected by enough fiber to circle the Earth 4.5 times >Will deliver 10x the performance of the world’s fastest supercomputer today >Liquid-cooled closed-loop system for cooling GPUs that requires zero water for operations after construction >Multiple identical Fairwater datacenters under construction in other locations across the US >AI infra already deployed in over 100+ datacenters around the world&#44; powering model training&#44; test-time compute&#44; RL tuning&#44; and real-time inference at global scale,"Sep 18, 2025 · 3:17 PM UTC",/ShanuMathew93/status/1968695969739845670#m,2,3,18,1
@CNairobian1_,2019 Toyota LandCruiser TX-L  2800CC turbocharged diesel  6 speed Automatic transmission  Leather seats 7 Seater  Electric seats  Front cooled and warmed seats   KES 7&#44;050&#44;000   For more info Call/App 0742 655 746 ✅,"Sep 18, 2025 · 6:07 AM UTC",/CNairobian1_/status/1968557431295713462#m,0,3,4,0
@konstructivizm,The Evolution of the Moon: 4.5 Billion Years in 2 Minutes  The Moon likely formed from material ejected 4.5 billion years ago by a Mars-sized object colliding with Earth. After gravitational compression&#44; the Moon's glowing&#44; hot surface cooled and cracked.  Large and small rocks continued to fall onto the lunar surface&#44; including a massive meteorite that formed the Aitken Basin about 4.3 billion years ago. This period of intense meteorite bombardment lasted for hundreds of millions of years&#44; during which time vast basins appeared across the entire surface of the Moon.  Over the next several billion years&#44; lava flows flowed on the side facing Earth&#44; forming the lunar maria we know today. These continued meteorite impacts&#44; which have subsided slightly over the last billion years&#44; formed the craters we see today.,"Sep 18, 2025 · 2:38 AM UTC",/konstructivizm/status/1968504751479472523#m,3,15,85,1
@grex1hotmailco2,I danced this morning. Not for a crowd. Not for content. Just for the joy of feeling alive. The floor creaked. My pet gave me a side-eye. The coffee cooled. But my spirit warmed. I sang today. Off-key. Loud..... For more&#44; check out my website-303greg.mailchimpsites.com/,"Sep 17, 2025 · 11:41 PM UTC",/grex1hotmailco2/status/1968460210173104273#m,0,1,1,0
