username,content,timestamp,link,comments,retweets,likes,quotes
@ThomasCOTTINET,"😱 ""Trump has ❌called #climatechange a “hoax”  vowed to  ❌delete spending on clean energy ❌abolish “insane” incentives for electric cars ❌scrap various environmental rules ❌unleash a “drill&#44; baby&#44; drill” wave of new oil & gas"" @olliemilman @GuardianUS theguardian.com/us-news/2024…","Oct 29, 2024 · 11:48 PM UTC",/ThomasCOTTINET/status/1851410772938858662#m,0,5,6,0
@dropbuckets3,5 Ways Electric Cars Destroy the Environment Worse Than Gas-Powered! How come the media never mentions or asks about these important issues ⁦⁦@WTNH⁩ ⁦@nhregister⁩ ⁦@WFSBMorningTeam⁩ ⁦@SenBlumenthal⁩ ⁦@ChrisMurphyCT⁩ ⁦ autoreviewhub.com/Article/ve…,"Oct 28, 2024 · 12:02 PM UTC",/dropbuckets3/status/1850870793858887950#m,0,0,0,0
@Chinoy200096633,Trump talks about “hydrogen” when talking about electric cars.   Remember this👇👇  WHEN LITHIUM IS MIXED WITH WATER…IT PRODUCES HYDROGEN GAS…WHICH IS FLAMMABLE.   This is why&#44; trying to put out a lithium-based battery fire with water…makes things worse.   Now… THINK ABOUT THOSE  LITHIUM MINES!!  WHY does Kamala Harris’ husband have so much stock in LITHIUM MINES?  Is this where the bodies are buried??  LITHIUM+WATER= HYDROGEN GAS!!  HYDROGEN GAS can blow you up…beyond recognition!!!,"Oct 26, 2024 · 3:04 AM UTC",/Chinoy200096633/status/1850010557908128126#m,0,0,0,0
@RutkowskiDr,5 Ways Electric Cars Destroy the Environment Worse Than Gas-Powered  msn.com/en-us/news/technolog…,"Oct 23, 2024 · 5:01 PM UTC",/RutkowskiDr/status/1849133972791366001#m,0,0,0,0
@US21815985,msn.com/en-us/money/companie… FACT After 15 Years Electric  Cars Put out only 10 Percent LESS CO2 But Now You Have a 1&#44;000 to 3&#44;000 Lb VERY TOXIC BATTERY TO DISPOSE OF SO IN REALTY ELECTRIC VEHICLES ARE WORSE FOR OUR ENVIRONMENT!,"Oct 23, 2024 · 4:14 PM UTC",/US21815985/status/1849122132305019148#m,0,0,0,0
@WOWERZOWER,"My sociology class is discussing how electric cars and gas cars are both bad options for transportation and the environment but ""there's no obvious solution"" if only...","Oct 21, 2024 · 4:55 PM UTC",/WOWERZOWER/status/1848407651212001487#m,2,1,16,0
@TaupeAvenger,Once you're moving at highway speeds most of the noise outside your vehicle is road and aerodynamic noise and EVs are as bad or worse than gas cars for producing it.  If you want really quiet vehicles then you need electric scooters or bikes at low speeds.,"Oct 21, 2024 · 2:42 PM UTC",/TaupeAvenger/status/1848374416654151867#m,2,0,2,0
@10longone,5 Ways Electric Cars Destroy the Environment Worse Than Gas-Powered msn.com/en-us/news/technolog…,"Oct 19, 2024 · 2:15 PM UTC",/10longone/status/1847642684195819829#m,0,0,0,0
@FilTProfBiker,Ways Electric Cars Destroy the Environment Worse Than Gas-Powered msn.com/en-us/news/technolog…,"Oct 18, 2024 · 5:06 PM UTC",/FilTProfBiker/status/1847323290010079569#m,0,0,0,0
@ElizabethFarah,👉🏼GREEN NEW SCAM :: Remember the NY Post's story on EV cars having a greater negative impact on the environment than gas vehicles? 👈🏼 🧵  Electric vehicles release more toxic particles into the atmosphere and are worse for the environment than their gas-powered counterparts&#44; according to a resurfaced study.  The study&#44; published by emissions data firm Emission Analytics&#44; was released in 2022 but has attracted a wave of attention this week after being cited in a Wall Street Journal op-ed Sunday.  It found that brakes and tires on EVs release 1&#44;850 times more particle pollution compared to modern tailpipes&#44; which have “efficient” exhaust filters&#44; bringing gas-powered vehicles’ emissions to new lows.  Today&#44; most vehicle-related pollution comes from tire wear. As heavy cars drive on light-duty tires — most often made with synthetic rubber made from crude oil and other fillers and additives — they deteriorate and release harmful chemicals into the air&#44; according to Emission Analytics  Because EVs are on average 30% heavier&#44; brakes and tires on the battery-powered cars wear out faster than on standard cars.,"Oct 17, 2024 · 2:18 PM UTC",/ElizabethFarah/status/1846918691708879321#m,1,0,0,0
