user,text,created_at_datetime,link,comments,retweets,quotes,likes,alignment
@stevejn3,"""Spot on! Climate changes by natural processes over time not human activity-the climate as warmed and cooled as geological records show long before we started using fossil fuels. CO2 is 0.042% of the earths atmosphere-of that 97% is estimated to be produced by natural vegetation.""",2025-01-29T00:18:00Z,/stevejn3/status/1884395751096123649#m,0,0,0,0,1
@GetAlongCantWe,"""He isn't wrong. But the climate change is natural, in fact could not be significantly altered by human. Global warming of recent cycle started about 20,000 years ago, during the time wildfire of millennium scale burned for hundred of years, warmed up the earth. It will continue.""",2025-01-12T23:16:00Z,/GetAlongCantWe/status/1878581870809735591#m,0,0,0,0,1
@LoveWins0100,"""The planet has always cooled and warmed... it's a cycle of a living planet.. anyone who believes this hoax for tax dollars deserves to eat bugs.. leave the rest of us and our NATURAL FOOD SOURCES ALONE!!""",2024-11-18T01:32:00Z,/LoveWins0100/status/1858322283279892503#m,0,0,0,0,0
@EJthePariah,"""Hasn't Earth #warmed and #cooled naturally throughout history? climate.gov/news-features/cl… \nnot the federal government admitting that warming is part of an ongoing cycle! 🫨""",2024-10-14T13:28:00Z,/EJthePariah/status/1845818992084074534#m,0,0,0,0,1
@TimLow58,"""Of course the climate changes. It warmed up and cooled down between the last 5 ice ages. Humans weren’t around to affect it so it is a natural occurrence.""",2024-10-07T12:17:00Z,/TimLow58/status/1843264351018643481#m,0,0,0,0,1
@TimLow58,"""Climate change is a natural occurrence. It warmed up and cooled down between the last 5 ice ages when humans didn’t exist.""",2024-10-02T18:36:00Z,/TimLow58/status/1841547763718488285#m,0,0,0,0,1
@Hakatoi_,"""FYI STOP 🛑 USING Other's Tragedies As A SPIN for Your 🫵🫵 Climate BS 🤯🙏\nHELLO 🤗 PEOPLE this SO-CALLED SCIENCE Person KNOWS the EARTH Climate Runs On CYCLE'S like all Planets & They Change Regularly,\nTheir Just Spinning  the FACTS\nclimate.gov/news-features/cl…""",2024-09-30T20:25:00Z,/Hakatoi_/status/1840850515388678204#m,0,0,0,0,1
@climateaccepter,"""*Anthropogenic* climate change is a hoax. Climate change is natural. We’re actually in what experts call a “mini ice age” right now. The planet has warmed and cooled through cycles long before humans even existed.""",2024-06-30T21:22:00Z,/climateaccepter/status/1807525040700699039#m,0,0,0,0,0
@Davidakky71,"""Agree...there is zero correlation directly with fossil fuels...the planet for centuries has warmed and cooled as part of its natural cycle and to presume man can influence the planetary climate is not only folly but ridiculous 🤬""",2024-05-06T16:05:00Z,/Davidakky71/status/1787514051569787136#m,0,2,0,3,0
@hartsfwa,"""This nonsense that we are impacting the climate ignores the reality that the earth’s climate has warmed and cooled in natural cycles over a millennia.  This insanity is by design to control us and drive some insane.\n\nLost to 'climate anxiety'\n\nwnd.com/2024/04/lost-climate…""",2024-04-21T07:27:00Z,/hartsfwa/status/1781947974542823443#m,0,0,0,0,0
@oldarmynavysalt,"""AL GORE IS A FUCKING BLASPHEMER, CULT LEADER\n1 In the beginning God created the heaven and the earth.\nbiblegateway.com/passage/?se…\n<mother earth cult, druids>\nmelanielynngriffin.wordpress…\n<100,000 year weather cycle>\nclimate.gov/news-features/cl….\n<just some quick facts>\nzerohedge.com/weather/nyc-en…""",2024-01-17T00:20:00Z,/oldarmynavysalt/status/1747413624459518183#m,0,0,0,0,2
@_ClimateCraze,"""""Arctic Amplification"" is just another climate alarmist buzz word -- like a bomb cyclone -- meant to instill fear about natural events.  The Arctic warmed tremendously in the 20s, while CO2 levels slowly rose, and then earth cooled.  Alarmists have no explanation, but oceans do.""",2024-01-08T03:31:00Z,/_ClimateCraze/status/1744200014203650174#m,21,105,3,296,2
