user,text,created_at_datetime,link,comments,retweets,quotes,likes,alignment
@WhatIsGOOE,"""How can we discern the truth about covid-19, vaccines & viruses in general?\n\n#covid_19 #masks #government #fear #confusion #division #history #science #evidence #logic #control""",2025-08-08T10:58:00Z,/WhatIsGOOE/status/1953772802072342627#m,0,0,0,0,2
@souperfan2012,"""Totalitarian government is one which with state media propaganda, lies to the population about viruses, vaccines, deaths, masks, cures, invasion, elections, leadership, roles in jailing opposition, economic and social interference.\nAmerica defeated a totalitarian government.""",2025-04-07T17:11:00Z,/souperfan2012/status/1909292876158382092#m,1,0,0,0,1
@Goldenjacket1,"""Covid was a flu\n\nMasks dont stop it\n\nThe jabs were poison\n\nThe Australian police and government forced barbaric lockdown control measures\n\nThe legacy media perpetuated lies(propaganda) and did no investigation into the truth""",2025-02-25T19:52:00Z,/Goldenjacket1/status/1894475605539782814#m,0,0,0,0,0
@Greywoods48442,"""Medical science proved that masks DO NOT prevent the spread of viruses.  \nOnce again our government is all about STUPID FEAR and CONTROL.  Not about any disease prevention.  \n\nShare and Follow if you believe science, not lying Democrap politicians.""",2025-01-04T14:39:00Z,/Greywoods48442/status/1875552613879705646#m,0,0,0,0,0
@_LUZID,"""Believing in “viruses” is anti-freedom.\n\nIt gives the government power to:\n\nMandate masks\nMandate lockdowns\nMandate vaccines\nIntroduce vaccine passports \nCensor you\nLiterally control your life""",2024-12-25T23:29:00Z,/_LUZID/status/1872062034654941288#m,8,45,2,144,2
@Clucky92864053,"""I am 73.  ""Duck and Cover"" was the nuclear threat air raid drill of the 50s and 60s.  What did it do but terrify children?  Now we have pandemic viruses and masks.  It is time to find out why our government gets by with these psych-ops.  It is all about fear and  control.""",2024-12-11T00:33:00Z,/Clucky92864053/status/1866642475374289210#m,27,38,3,177,1
@jeffdornik,"""The same government that told you to trust the jab also told you masks would save the world.\n\nHow much longer will Americans bow to Big Pharma’s lies?\n\nIt's time to fight back and take control of our health.""",2024-11-25T16:43:00Z,/jeffdornik/status/1861088206403338424#m,3,1,0,3,2
@MrPoundSand,"""I wear masks for work far superior to those paper masks and knew they clearly stated they don’t protect against viruses, and then the government started walking on our rights, and most importantly I am a follower of Jesus Christ, so I knew this all smelled like a pack of lies.""",2024-11-04T15:10:00Z,/MrPoundSand/status/1853454900966908112#m,0,0,0,0,0
@CHANNAKAJIMA,"""#Canada #vaccinepassports #vaccine #VaccineSideEffects #covid19 #masks #medicalpassports #masksareuseless #viruses #bacteria #NDP #LiberalParty #evil #propaganda #terror #control #liars #lies #propaganda #governmentpropaganda #cbcnews #ctvnews #globalnews #nationalpost #fascists""",2024-10-24T05:03:00Z,/CHANNAKAJIMA/status/1849315668698575297#m,1,0,0,3,1
@ddbetty,"""AGW denials are Created. Support for Trickle Down is Created. Anti vaccine is Created. Against masks is Created. Almost the entire GOP agenda is Created. It is Created, the lies, are to end the ability of the government to control our preditory billionaires. It is working.""",2024-09-16T16:39:00Z,/ddbetty/status/1835720056761909561#m,0,0,0,1,1
