username,content,timestamp,link,comments,retweets,likes,quotes
@frank_laManna,Wait until all these solar panels are no good in 20 years.  Watch how much toxic is left behind.  Electric cars are worse for the environment.,"Sep 25, 2025 · 7:30 AM UTC",/frank_laManna/status/1971114982411730963#m,0,0,0,0
@abdulazizsal3h,Electric cars don’t leak motor oil&#44; unlike gas cars. Gas cars spill lots of oil&#44; polluting the environment. Switching to EVs helps reduce this pollution. Time for cleaner rides! Learn more: cleantechnica.com/2025/06/05…,"Sep 23, 2025 · 10:19 PM UTC",/abdulazizsal3h/status/1970613901474627933#m,0,0,0,0
@rebelprazz,EV’s are ridiculous…omg…they are worse for the environment than gas or ditself vehicles. Ffs we are still using electricity to charge them…it’s not about the environment. It’s all about control.  Canada to stall electric vehicle rules as Carney seeks to boost auto sector financialpost.com/commoditie…,"Sep 5, 2025 · 2:30 PM UTC",/rebelprazz/status/1963973048496787745#m,2,0,8,0
@LarryNeufeldSK,"For those still trying to spin internal combustion vehicle as somehow ""better for the environment"": Electric cars more eco-friendly over lifetime than gas cars&#44; study finds canadianaffairs.news/2025/08…","Aug 30, 2025 · 10:33 PM UTC",/LarryNeufeldSK/status/1961920121771020508#m,0,1,0,0
@EliseWarRoom,Green Scam policies hurt homeowners from Buffalo to Brooklyn.  One-party rule allowed politicians to pass harmful mandates that kill jobs and drive up utility costs.  It will be even worse for families once gas stoves are banned and you're forced to buy only electric cars.,"Aug 20, 2025 · 6:16 PM UTC",/EliseWarRoom/status/1958231776909742269#m,0,5,7,1
@CarterxGaming,(Not really woke) but I do not like Electric cars. They do so much damage to the environment and they tax you more. I do not think banning gas vehicles is a good thing. Of course I want to protect the environment but I dont think its the solution we need.,"Aug 19, 2025 · 12:09 AM UTC",/CarterxGaming/status/1957595853943623840#m,0,0,0,0
@shadowlegend69,Gas powered cars don’t necessarily have to be worse for the environment.  For example&#44; I run a hose from my exhaust back into the cabin to minimize my carbon footprint.  On a completely separate note&#44; has anyone else been getting really sleepy lately?,"Aug 11, 2025 · 8:58 PM UTC",/shadowlegend69/status/1955010884180365594#m,1,0,4,0
@SEALAwards,'Despite the stricter regulations&#44; many automakers have been broadly receptive to phasing out internal combustion vehicles while increasing production of electric vehicles.'  // via @BudrykZack thehill.com/policy/energy-en…,"Aug 11, 2025 · 8:15 PM UTC",/SEALAwards/status/1955000093129531789#m,1,0,0,0
@1972RanPar,Electric vehicles release more toxic emissions&#44; are worse for the environment than gas-powered cars. You won't hear that on X often! nypost.com/2024/03/05/busine…,"Jul 31, 2025 · 4:37 PM UTC",/1972RanPar/status/1950959108686803186#m,5,7,15,0
@ianjmarcus,Unpopular opinion: since electric cars are more carbon intensive to make and dispose&#44; at low mileages&#44; gas vehicles are better for the environment. Me personally&#44; i drive a hybrid mini-van. Id go electric if it was less expensive.   visualcapitalist.com/life-cy…,"Jul 27, 2025 · 1:48 AM UTC",/ianjmarcus/status/1949285624122352116#m,0,0,0,0
@DebunkItAI,#Claim : Electric cars are worse for the environment than gasoline cars. #EV #Gas,"Jul 22, 2025 · 12:13 AM UTC",/DebunkItAI/status/1947449928965624051#m,0,0,1,0
@nextphlmayor,Did you know… Waymo cars are 100% electric?  Saw people last week complaining about pollution&#44; gas&#44; fumes&#44; and the environment…  So&#44; uh… does that change any of those bad takes about Waymo coming to Philly?  Or are we just anti-progress now too?,"Jul 16, 2025 · 1:24 PM UTC",/nextphlmayor/status/1945474652995776684#m,1,0,10,0
@WolfSean57929,View mileage tax They wanted us to go green to save the environment. Now they're going to tax us for driving it&#44; because they're not making tax from the loss of gas because of electric cars. No&#44; they want control&#44; if you're poor you don't drive  facebook.com/share/p/16trGk8…,"Jul 16, 2025 · 12:01 PM UTC",/WolfSean57929/status/1945453677507924058#m,0,0,0,0
@LFitzsi2995,Solar panels were used in 70s and failed. Sane with electric cars 100 years ago.  Why are we not using coal&#44; gas&#44; nuclear and hydrogen which have proven to be more efficient&#44;  economical and better for the environment.  instagram.com/reel/DKEZBs4hf…,"Jul 16, 2025 · 7:27 AM UTC",/LFitzsi2995/status/1945384668758458658#m,0,0,0,0
@nmichaelross,Current ferry regulations on towing disabled electric vehicles for service could leave you stranded on some island BC. Amazing policy short sight. Only secure option - gas or hybrid vehicles? #cars #environment nationalpost.com/news/canada…,"Jul 9, 2025 · 3:28 PM UTC",/nmichaelross/status/1942969207869858112#m,0,0,1,0
@ZiloElGrande,msn.com/en-us/autos/news/elo…   -- EV's are as bad if not worse for the environment. Mining&#44; chemicals&#44; tire wear&#44; and gas powered rechargers do more damage than tuned gas cars.🤨🤔,"Jul 7, 2025 · 5:53 PM UTC",/ZiloElGrande/status/1942280905508413837#m,0,0,0,0
@LabOfLies,Trump and Musk's break-up enters the anger stage - and Tesla stocks are collateral - The i Paper Tesla isn’t a part of this shit! Tesla is falling because electric cars are shit and worse for the environment lol look up how they make the batteries! apple.news/AnY7SiOxcS8OXNeo2…,"Jul 7, 2025 · 12:45 PM UTC",/LabOfLies/status/1942203312180211753#m,0,0,0,0
@engineer1944,13 States That Are Gearing Up to Ban Gas-Powered Cars msn.com/en-us/autos/news/13-… Opinion: I prefer a BAN ON ELECTRIC CARS! Battery mining and waste harm the environment. The world runs on fossil fuels. Gas cars are an American tradition!,"Jul 6, 2025 · 10:58 PM UTC",/engineer1944/status/1941995272407814573#m,0,0,0,0
@fidodido100000,As we are told to reduce our carbon footprint and use less electricity whilst being told to drive electric cars... Electric cars are worse for the environment - we are being lied to once again.,"Jul 6, 2025 · 8:11 AM UTC",/fidodido100000/status/1941772027917983857#m,0,0,2,0
@ForensicXtina,PRO CHOICE on cars.  NO to ever having an EV mandate.  Love you Elon&#44; but NO!  Mandates like that are communism.  I prefer my gas guzzler over an EV&#44; that is far worse for the environment & my wallet!,"Jul 3, 2025 · 5:33 PM UTC",/ForensicXtina/status/1940826318939333014#m,0,0,0,0
,,,,0,0,0,0
@LisaPar25480962,"""The chairman of Toyota&#44; Akio Toyoda&#44; caused controversy when he claimed that electric cars are worse for the environment than hybrids&#44; so some scientists decided to respond to his claims."" supercarblondie.com/scientis…","Jul 1, 2025 · 10:52 PM UTC",/LisaPar25480962/status/1940181719027785809#m,0,0,0,0
@realomegahpla,Electric Cars Are WAY Worse For The Environment - Joe Rogan facebook.com/share/r/1AfNX3i…,"Jun 30, 2025 · 11:43 AM UTC",/realomegahpla/status/1939650999255547949#m,0,0,1,0
@_ChaoticScape,Love how EV drivers lecture us to turn off A/C to 'save the grid' while their cars guzzle power from coal plants. Mining for those batteries wrecks the environment worse than my gas car. Hypocrisy much?  #ElectricVehicles #GreenHypocrisy,"Jun 29, 2025 · 1:10 PM UTC",/_ChaoticScape/status/1939310609314758763#m,0,0,0,0
@calln4me,Did you know that EVs release more toxic emissions&#44; are worse for the environment: study. Also&#44; electric cars don’t have a long shelf life compared to gas powered nypost.com/2024/03/05/busine…,"Jun 27, 2025 · 4:31 AM UTC",/calln4me/status/1938455089766908093#m,0,0,0,0
@TRUTHSEEKERS111,Joe Rogan Podcast: Are Electric Cars Significantly Worse for the Environment?    Electric vehicles release more toxic emissions and are worse for the environment than gas-powered cars. Study. This is in the New York Post. Brakes and tires on EVs released 1&#44;850 times more particle pollution compared to modern tailpipes. Today&#44; most vehicle-related pollution comes from tire wear.  Woah. Because EVs are an average of 30% heavier&#44; brakes and tires in the battery-powered cars wear out faster than on standard cars. That's something that someone had told me a long time ago about cities. The thing about the pollution is it's not just the emissions&#44; it's brake dust. Yeah.  That you're breathing in brake dust because if you've ever&#44; like&#44; touched your car&#44; you drive it for a while&#44; get brake dust everywhere&#44; just all over the inside. That goes out in the air.,"Jun 25, 2025 · 8:16 PM UTC",/TRUTHSEEKERS111/status/1937968070603206666#m,0,4,1,0
@maclovia325,So many people love their gas cars. So many love the electric cars.  Neither one is good for the environment.  Gas pollutes the air. Electric pulls on our electric grid  Solution Hybrid. Using very little gas. No electric grid needed.752 miles on a tank  Easy in the environment,"Jun 24, 2025 · 3:08 PM UTC",/maclovia325/status/1937528244435321336#m,0,0,0,0
