username,content,timestamp,link,comments,retweets,likes,quotes
@abdulazizsal3h,Electric cars don’t leak motor oil&#44; unlike gas cars. Gas cars spill lots of oil&#44; polluting the environment. Switching to EVs helps reduce this pollution. Time for cleaner rides! Learn more: cleantechnica.com/2025/06/05…,"Sep 23, 2025 · 10:19 PM UTC",/abdulazizsal3h/status/1970613901474627933#m,0,0,0,0
@rebelprazz,EV’s are ridiculous…omg…they are worse for the environment than gas or ditself vehicles. Ffs we are still using electricity to charge them…it’s not about the environment. It’s all about control.  Canada to stall electric vehicle rules as Carney seeks to boost auto sector financialpost.com/commoditie…,"Sep 5, 2025 · 2:30 PM UTC",/rebelprazz/status/1963973048496787745#m,2,0,8,0
@LarryNeufeldSK,"For those still trying to spin internal combustion vehicle as somehow ""better for the environment"": Electric cars more eco-friendly over lifetime than gas cars&#44; study finds canadianaffairs.news/2025/08…","Aug 30, 2025 · 10:33 PM UTC",/LarryNeufeldSK/status/1961920121771020508#m,0,1,0,0
@EliseWarRoom,Green Scam policies hurt homeowners from Buffalo to Brooklyn.  One-party rule allowed politicians to pass harmful mandates that kill jobs and drive up utility costs.  It will be even worse for families once gas stoves are banned and you're forced to buy only electric cars.,"Aug 20, 2025 · 6:16 PM UTC",/EliseWarRoom/status/1958231776909742269#m,0,5,7,1
@CarterxGaming,(Not really woke) but I do not like Electric cars. They do so much damage to the environment and they tax you more. I do not think banning gas vehicles is a good thing. Of course I want to protect the environment but I dont think its the solution we need.,"Aug 19, 2025 · 12:09 AM UTC",/CarterxGaming/status/1957595853943623840#m,0,0,0,0
@shadowlegend69,Gas powered cars don’t necessarily have to be worse for the environment.  For example&#44; I run a hose from my exhaust back into the cabin to minimize my carbon footprint.  On a completely separate note&#44; has anyone else been getting really sleepy lately?,"Aug 11, 2025 · 8:58 PM UTC",/shadowlegend69/status/1955010884180365594#m,1,0,4,0
@SEALAwards,'Despite the stricter regulations&#44; many automakers have been broadly receptive to phasing out internal combustion vehicles while increasing production of electric vehicles.'  // via @BudrykZack thehill.com/policy/energy-en…,"Aug 11, 2025 · 8:15 PM UTC",/SEALAwards/status/1955000093129531789#m,1,0,0,0
@1972RanPar,Electric vehicles release more toxic emissions&#44; are worse for the environment than gas-powered cars. You won't hear that on X often! nypost.com/2024/03/05/busine…,"Jul 31, 2025 · 4:37 PM UTC",/1972RanPar/status/1950959108686803186#m,5,7,15,0
@ianjmarcus,Unpopular opinion: since electric cars are more carbon intensive to make and dispose&#44; at low mileages&#44; gas vehicles are better for the environment. Me personally&#44; i drive a hybrid mini-van. Id go electric if it was less expensive.   visualcapitalist.com/life-cy…,"Jul 27, 2025 · 1:48 AM UTC",/ianjmarcus/status/1949285624122352116#m,0,0,0,0
@DebunkItAI,#Claim : Electric cars are worse for the environment than gasoline cars. #EV #Gas,"Jul 22, 2025 · 12:13 AM UTC",/DebunkItAI/status/1947449928965624051#m,0,0,1,0
@nextphlmayor,Did you know… Waymo cars are 100% electric?  Saw people last week complaining about pollution&#44; gas&#44; fumes&#44; and the environment…  So&#44; uh… does that change any of those bad takes about Waymo coming to Philly?  Or are we just anti-progress now too?,"Jul 16, 2025 · 1:24 PM UTC",/nextphlmayor/status/1945474652995776684#m,1,0,10,0
@WolfSean57929,View mileage tax They wanted us to go green to save the environment. Now they're going to tax us for driving it&#44; because they're not making tax from the loss of gas because of electric cars. No&#44; they want control&#44; if you're poor you don't drive  facebook.com/share/p/16trGk8…,"Jul 16, 2025 · 12:01 PM UTC",/WolfSean57929/status/1945453677507924058#m,0,0,0,0
