username,content,timestamp,link,comments,retweets,likes,quotes
@Torrid_Zone,Green cars not about the environment. If every1 drove an electric car (used no gas) the Gov't would tax mileage to get its revenue. @cspanwj,"Jul 5, 2015 · 1:15 PM UTC",/Torrid_Zone/status/617683204179410945#m,0,0,0,0
@judymorris3,New study: Electric cars may be worse for the environment than gas-powered #ElectricCars fb.me/6GQhzf0gC,"Jul 2, 2015 · 11:56 PM UTC",/judymorris3/status/616757350821679104#m,0,0,0,0
@judymorris3,New study: Electric cars may be worse for the environment than gas-powered #ElectricCars fb.me/4AJO51USo,"Jul 2, 2015 · 7:59 PM UTC",/judymorris3/status/616697740672696321#m,0,0,0,0
@FarNorthDallasT,New study says electric cars might be worse for the environment than gas-powered ones. fb.me/4o3aQi2nK,"Jul 2, 2015 · 7:55 PM UTC",/FarNorthDallasT/status/616696704469876737#m,1,0,0,0
@Pitstopconnect,Two sides to every story Electric cars can be dirtier than traditional buff.ly/1LWO1cO #environment #future,"Jul 2, 2015 · 2:00 PM UTC",/Pitstopconnect/status/616607355078340608#m,0,6,5,0
@JohanBranders,New study: Electric cars may be worse for the environment than gas-powered washingtonexaminer.com/new-s… via @DCExaminer,"Jul 2, 2015 · 11:13 AM UTC",/JohanBranders/status/616565373605937152#m,0,0,0,0
@SimonFili,On average #electric #cars are about half-a-cent worse per mile for the #environment than gas-powered cars environmentblog.ncpa.org/ele… #CO2,"Jul 2, 2015 · 9:46 AM UTC",/SimonFili/status/616543440575315968#m,0,0,0,0
@DipstixUK,Electric vehicles can cause more damage to the environment than standard cars  aol.it/1KuDkPR,"Jul 2, 2015 · 8:30 AM UTC",/DipstixUK/status/616524221821358081#m,0,0,0,0
@Importavehicle,Drive gas&#44; save the environment. fb.me/xuOPCKdm,"Jul 1, 2015 · 11:54 PM UTC",/Importavehicle/status/616394448050630660#m,0,0,0,0
@daveloukola,Electric cars worse than gas cars? I think not. Coal power worse than nuclear and renewable? I think so. flip.it/7hun4,"Jul 1, 2015 · 11:51 PM UTC",/daveloukola/status/616393818888380416#m,0,0,0,0
@CarolSmith1233,Here's Where Electric Vehicles Actually Cause More Pollution Than Gas Cars: If you think EVs are ... huff.to/1T7vGhA #environment,"Jul 1, 2015 · 10:34 PM UTC",/CarolSmith1233/status/616374418915225600#m,0,0,0,0
@PrasannaBidkar,New study: Electric #cars may be worse for the environment than gas-powered - klou.tt/1qzkrgcm0c5u8,"Jul 1, 2015 · 9:30 PM UTC",/PrasannaBidkar/status/616358207443763200#m,0,0,0,0
@Benny_Mortensen,New study: Electric cars may be worse for the environment than gas-powered klou.tt/em9v85xj7l2k,"Jul 1, 2015 · 9:37 AM UTC",/Benny_Mortensen/status/616178856676823040#m,0,0,0,0
@mlcluster,Gas-powered cars do worse in congested urban areas; outside&#44; electric cars are worse klou.tt/r4jpyng6mamz,"Jul 1, 2015 · 7:59 AM UTC",/mlcluster/status/616154142025781248#m,0,0,0,0
@dqueencat,Study: Electric Cars Worse For Environment Than Gas Powered Cars | The Daily Caller ow.ly/P0uGk,"Jun 30, 2015 · 7:30 PM UTC",/dqueencat/status/615965628172779520#m,0,0,0,0
