username,content,timestamp,link,comments,retweets,likes,quotes
@Mendo_louie123,Funny how some people oppose vaccines because they think they have microchips. Some serious main character syndrome right there...   They don’t realize they’re insignificant to the government at the end of the day,"Dec 31, 2020 · 7:51 PM UTC",/Mendo_louie123/status/1344732998114054145#m,0,1,1,0
@pep_syd,sometimes i forget that people who think that vaccines are a way to administer government monitored tracking devices are actual living breathing people that exist outside of the internet..like they have pets and favorite tv shows and it’s just so wild,"Dec 31, 2020 · 6:55 PM UTC",/pep_syd/status/1344718810432106498#m,1,0,5,0
@HomeierJoey,Don’t you love it when people carry around a tracking device in their pocket all day then post stuff on social media about being worried about microchips in their medicine ... vaccines saves lives&#44; they have always saved lives&#44; and they will continue to save lives. Come on people,"Dec 31, 2020 · 4:55 PM UTC",/HomeierJoey/status/1344688660290043904#m,0,0,1,0
@Rummlie,My hot take on 2020... the year people believed that the government who think Excel and Netscape are credible for managing pandemics and international trade deals are the same government participating in a secret global plot to control us all via 5G and microchips in vaccines.,"Dec 30, 2020 · 1:47 PM UTC",/Rummlie/status/1344278845340471299#m,1,1,2,0
@MildlyAutistic,People that say the government is going to chip our vaccines just... really don’t know how microchips work 🤦🏽‍♂️,"Dec 30, 2020 · 10:11 AM UTC",/MildlyAutistic/status/1344224491287629824#m,5,2,27,0
@JMV08034282,People really think the government is going to track them with these vaccines&#44; instead of tracking them the phone with face reignition they used to Tweet about it... #CovidVaccine,"Dec 29, 2020 · 1:34 AM UTC",/JMV08034282/status/1343731988453355520#m,0,0,0,0
@USATODAY,"""These vaccines are safe. They do not cause autism. They do not incorporate into your DNA. They do not contain government-tracking microchips. There is no conspiracy. Believe medical experts and scientists&#44;"" writes Thomas K. Lew for @usatodayopinion.  usatoday.com/story/opinion/v…","Dec 22, 2020 · 6:46 PM UTC",/USATODAY/status/1341454960928710656#m,4,20,84,2
@adriennenutter,So many people will be watching  #SoulMovie on Christmas Day that if the government really wanted to find new ways to surveil us they would work with Disney+Pixar on an evil plan rather than plant microchips in vaccines that too many Americans won't take.,"Dec 21, 2020 · 2:31 AM UTC",/adriennenutter/status/1340847402249555969#m,0,0,1,0
@heerforgood,How is it that same people who won’t wear a mask and take covid seriously because they “won’t live in fear” are the ones who are scared the government is going to put tracking chips in vaccines.,"Dec 20, 2020 · 8:35 PM UTC",/heerforgood/status/1340757707456978949#m,0,0,5,0
@tattudeguyWA,We’re living in a country whose government tracks everything about its citizens. People panicking because of conspiracy theories saying the guv’ment is using vaccines & the latest tech to suddenly begin tracking us are especially stupid.,"Dec 20, 2020 · 5:51 PM UTC",/tattudeguyWA/status/1340716550525865984#m,0,0,3,0
@DoctorMommyTina,People worried about imaginary microchips in vaccines but aren’t bothered about the actual warrantless mass surveillance of Americans by their government.,"Dec 19, 2020 · 4:13 AM UTC",/DoctorMommyTina/status/1340148214633091074#m,0,1,1,0
@AACAP,"""This week&#44; researchers at misinformation-research group Zignal Labs found that false narratives claiming that the vaccine contains tracking microchips and that the government will make vaccines mandatory continue to circulate.""  wapo.st/2J4XPMg","Dec 18, 2020 · 5:35 PM UTC",/AACAP/status/1339987786238205954#m,0,0,0,0
@originalchamp,NYTimes: There are 10 ingredients in Pfizer’s coronavirus vaccines. Contrary to several conspiracy theories circulating online&#44; a tracking microchip planted by the government to surveil the movements of Americans is not among them. nytimes.com/2020/12/17/techn…,"Dec 18, 2020 · 10:25 AM UTC",/originalchamp/status/1339879491246571520#m,0,0,0,0
@mjkeegan1127,Seems like this shouldn’t need to be said: “There are 10 ingredients in Pfizer’s #coronavirus vaccines. Contrary to several conspiracy theories circulating online&#44; a tracking microchip planted by the government to surveil Americans is not among them.” nytimes.com/2020/12/17/techn…,"Dec 17, 2020 · 10:04 PM UTC",/mjkeegan1127/status/1339692894702227463#m,0,0,0,0
@longwayzzz69,People are worried about vaccines microchips while reading this from the tracking device in their pocket.,"Dec 17, 2020 · 8:34 PM UTC",/longwayzzz69/status/1339670442274152450#m,0,0,1,0
@HarmsWayChad,People are scared of vaccines and what’s inside of them and are fearful of microchips and tracking yet they eat hot dogs and have smart phones.,"Dec 17, 2020 · 7:03 AM UTC",/HarmsWayChad/status/1339466177408454656#m,1,0,1,0
@tryingmyworst,the government is gonna be so fucking bored once they start tracking me through the microchips in the vaccines. all i do is get drunk on my couch a lot.   what a waste of my tax dollars&#44; i would’ve just invited them over for free as long as they brought over mixers & a bag of ice,"Dec 16, 2020 · 5:34 PM UTC",/tryingmyworst/status/1339262708227604481#m,0,0,2,0
@jeffmakesjokes,As I’ve seen more interviews with people who believe that Covid is a hoax&#44; and fear microchips in the vaccines&#44; I’ve noticed a fairly large overlap with people who must also believe that dental decay is a hoax & there are tracking devices being delivered via toothpaste. #antivax,"Dec 16, 2020 · 5:01 PM UTC",/jeffmakesjokes/status/1339254442282008576#m,2,0,11,0
@penehoffttv,The said thing with this Vaccine is that there is 74 million people who probably wont take the Vaccine. We know who they are. Trumplekins &#44; the faithful Trump followers who believe the government is puting tracking devices in the Vaccines. #trumplekins #Trump2020 #TrumpIsPathetic,"Dec 16, 2020 · 1:29 PM UTC",/penehoffttv/status/1339201100394745866#m,0,0,0,0
@jinthejkm,"""I'm against vaccines because that's how the government puts microchips in everyone"" - dumb people","Dec 15, 2020 · 5:36 PM UTC",/jinthejkm/status/1338900768779284482#m,0,0,0,0
,,,,0,0,0,0
@froggiestswamp,it is so goddamn weird that the same ppl that think vaccines are fuckin microchips for the government to track us or smth are the same people that refuse to accept any flaws in our bullshit systems. bro if u think they want to control us why would u praise them so much,"Dec 12, 2020 · 7:50 AM UTC",/froggiestswamp/status/1337666069151014912#m,1,0,0,0
